BookUrl,NumberOfTweets,Readers,Language,AuthorUrl
https://leanpub.com/TechnicallySpeaking,,,English,https://leanpub.com/u/BradWallace
https://leanpub.com/harripetteri,,3,Kirjan kieli: suomalainen,https://leanpub.com/u/rikupekka
https://leanpub.com/jerrysblog,,152,English,https://leanpub.com/u/jerryweinberg
https://leanpub.com/xamarin-ios-app-dev,,70,English,https://leanpub.com/u/dpatra
https://leanpub.com/cqrs,,532,English,https://leanpub.com/u/MarkNijhof
https://leanpub.com/onvalentinesday,,,English(Malaysia),https://leanpub.com/u/dayangnoor
https://leanpub.com/cafepapaye,,6,English,https://leanpub.com/u/isabellmas
https://leanpub.com/ferryetasandgeonogs,,,English,https://leanpub.com/u/jaanatolonen
https://leanpub.com/thequestofthebrokenegg,,3,English,https://leanpub.com/u/lilycruz
https://leanpub.com/obstruction,,10,English,https://leanpub.com/u/mackmacfarlane
https://leanpub.com/RiseoftheChulo,,5,English,https://leanpub.com/u/jamesleenathaniii
https://leanpub.com/startingover,,,English,https://leanpub.com/u/daiguerra
https://leanpub.com/javaForTesters,,1073,English,https://leanpub.com/u/alanrichardson
https://leanpub.com/php,,105,English,https://leanpub.com/u/robaley
https://leanpub.com/MyShopOfSmells,,,הספר כתוב בשפה: עברית,https://leanpub.com/u/ideetsivan
https://leanpub.com/oopinjavascript,,1039,English
https://leanpub.com/dawn,,,English,https://leanpub.com/u/caroline
https://leanpub.com/bloodstains,,2,English,https://leanpub.com/u/docwinters
https://leanpub.com/the-cycle,,,English,https://leanpub.com/u/jenniferaldoretta
https://leanpub.com/The-SharePoint-Governance-Manifesto,,212,English,https://leanpub.com/u/antclay
https://leanpub.com/codebright,,4017,English Español Serbian 日本語 italiana Turkish Português (Brazillian) Русский язык,https://leanpub.com/u/daylerees
https://leanpub.com/aprogrammersdiary,,18,Chinese,https://leanpub.com/u/ohcoder
https://leanpub.com/developing-games-with-ruby,,22,English,https://leanpub.com/u/spajus
https://leanpub.com/holylandkanbanbestof,,293,English,https://leanpub.com/u/yuvalyeret
https://leanpub.com/upgradetorails4,,131,English,https://leanpub.com/u/philipDS
https://leanpub.com/thingsiveseenwhiledreaming,,14,English,https://leanpub.com/u/steveburkhart
https://leanpub.com/shippingsoftware,,3268,English,https://leanpub.com/u/raganwald
https://leanpub.com/welcometotexts,,3,English,https://leanpub.com/u/sheremetyev
https://leanpub.com/15fundamentals,,12,English,https://leanpub.com/u/paulemcmahon
https://leanpub.com/thelastturn,,42,English,https://leanpub.com/u/marcusdegerman
https://leanpub.com/implementinglaravel,,,English 日本語 Turkish Português (Brasileiro) Español,https://leanpub.com/u/fideloper
https://leanpub.com/ModernProgrammingMadeEasy,,30,English,https://leanpub.com/u/adamldavis
https://leanpub.com/wdw_little_kids,,,English,https://leanpub.com/u/joshcrews
https://leanpub.com/SometimesWeRan2,,,English,https://leanpub.com/u/stephendrivick
https://leanpub.com/piratescavern,,26,English,https://leanpub.com/u/mvizdos
https://leanpub.com/yourapiisbad,,585,English,https://leanpub.com/u/paddy
https://leanpub.com/selenium_recipes_java,,,English,https://leanpub.com/u/zhiminzhan
https://leanpub.com/tipsformanualtestersworkinginanagileenvironment,,,English,https://leanpub.com/u/mattarcher
https://leanpub.com/prophecy,,,English,https://leanpub.com/u/jimmurdoch
https://leanpub.com/fromheaventohell,,21,English italiana,https://leanpub.com/u/berylbrennan
https://leanpub.com/Malaysia2014,,,English,https://leanpub.com/u/woodegg
https://leanpub.com/multi-tenancy-rails,,1318,English,https://leanpub.com/u/ryanbigg
https://leanpub.com/Taiwan2014,,,English,https://leanpub.com/u/woodegg
https://leanpub.com/agilepitfalls,,42,Thai,https://leanpub.com/u/varokas
https://leanpub.com/Agile_w_Praktyce,,523,Polish,https://leanpub.com/u/andybrandt
https://leanpub.com/qunit-cookbook-espanol,,48,El idioma del libro: Español,https://leanpub.com/u/devnod
https://leanpub.com/rapid-prototyping-with-js,,1432,English,https://leanpub.com/u/azat
https://leanpub.com/Imkeepingmybaby,,2,English,https://leanpub.com/u/christeenthornton
https://leanpub.com/StoryKeeper,,,English,https://leanpub.com/u/mildredrholmes
https://leanpub.com/seminggubelajarlaravel,,64,Indonesian,https://leanpub.com/u/rahmatawaludin
https://leanpub.com/what-the-defend,,80,English,https://leanpub.com/u/whattheflop
https://leanpub.com/alevelbio,,37,English,https://leanpub.com/u/burtn
https://leanpub.com/homophobicbullying,,,English(British English)
https://leanpub.com/lavenutadeglidei,,4,Lingua del libro: italiana,https://leanpub.com/u/manuelavalente
https://leanpub.com/asfierceaflame,,,English,https://leanpub.com/u/loriferens
https://leanpub.com/grumpy-phpunit,,868,English italiana,https://leanpub.com/u/chartjes
https://leanpub.com/thismuch,,37,English,https://leanpub.com/u/peteashton
https://leanpub.com/computingstyle,,,English,https://leanpub.com/u/dds
https://leanpub.com/thejourneyman,,,English(American English),https://leanpub.com/u/gorzek
https://leanpub.com/asesino,,3,El idioma del libro: Español,https://leanpub.com/u/diegoresendez
https://leanpub.com/laravel-pt-br,,,Idioma do Livro: Português(Brasileiro),https://leanpub.com/u/taylorotwell,https://leanpub.com/u/pedroborg_es
https://leanpub.com/India2014,,,English,https://leanpub.com/u/woodegg
https://leanpub.com/phonegapbuild,,1402,English,https://leanpub.com/u/justmyfreak
https://leanpub.com/xanpan,,110,English,https://leanpub.com/u/anonymous2BypmyCJHE3v-RIRGcRrgT
https://leanpub.com/Experiential,,340,English,https://leanpub.com/u/jerryweinberg
https://leanpub.com/Philippines2014,,,English,https://leanpub.com/u/woodegg
https://leanpub.com/codebright-it,,80,Lingua del libro: italiana,https://leanpub.com/u/daylerees,https://leanpub.com/u/hellofrancesco,https://leanpub.com/u/alaguna
https://leanpub.com/breves-sinsentidos,,3,El idioma del libro: Español,https://leanpub.com/u/txus
https://leanpub.com/legacyoflove,,,English,https://leanpub.com/u/alegacyoflove,https://leanpub.com/u/poeticbuttafly
https://leanpub.com/swimmingwithasiansharks,,,English,https://leanpub.com/u/dannyhui
https://leanpub.com/frontend,,280,English,https://leanpub.com/u/msurguy
https://leanpub.com/tikhon,,,English,https://leanpub.com/u/ubiquitousrat
https://leanpub.com/episerver-7-cms-development,,432,English,https://leanpub.com/u/joelabrahamsson
https://leanpub.com/laravel4cookbook-es,,33,El idioma del libro: Español(España)
https://leanpub.com/a-drip-of-javascript-book,,77,English,https://leanpub.com/u/joshuaclanton
https://leanpub.com/discipleshipstory,,,English,https://leanpub.com/u/mitchmartin
