https://leanpub.com/thingsiveseenwhiledreaming,,14,English,"Set(Author2(https://leanpub.com/u/steveburkhart,None,None))"
https://leanpub.com/picturestalk,,15,English,"Set(Author2(https://leanpub.com/u/churchjohnson28,Some(https://twitter.com/uniek81books),Some(366)))"
https://leanpub.com/software-architecture-for-developers,,4390,English,"Set(Author2(https://leanpub.com/u/simonbrown,Some(https://twitter.com/simonbrown),Some(4,704)))"
https://leanpub.com/qunit-cookbook-espanol,,48,El idioma del libro: Español,"Set(Author2(https://leanpub.com/u/devnod,Some(https://twitter.com/shadow_of__soul),Some(310)))"
https://leanpub.com/ShacharWants,,,English,"Set(Author2(https://leanpub.com/u/ideetsivan,None,None))"
https://leanpub.com/awarstory,,,English(Free Verse Poetry),"Set(Author2(https://leanpub.com/u/derrikbulmer3Lmv1jV4T3TvEuHYGSacGr,None,None))"
https://leanpub.com/coffeescript,,2714,El idioma del libro: Español,"Set(Author2(https://leanpub.com/u/soyjavi,Some(https://twitter.com/soyjavi),Some(5,284)))"
https://leanpub.com/Ofertasycontratacionscrum,,52,El idioma del libro: Español,"Set(Author2(https://leanpub.com/u/anonymous2DNBhHQPr59f6Zh8TOkWI1,Some(https://twitter.com/PepeVazquezS),Some(369)))"
https://leanpub.com/Cambodia2014,,,English,"Set(Author2(https://leanpub.com/u/woodegg,Some(https://twitter.com/sivers),Some(277K)))"
https://leanpub.com/youarewhatyoudecide,,,English,"Set(Author2(https://leanpub.com/u/seanbrady,Some(https://twitter.com/prismdecision),Some(95)))"
https://leanpub.com/Indonesia2014,,,English,"Set(Author2(https://leanpub.com/u/woodegg,Some(https://twitter.com/sivers),Some(277K)))"
https://leanpub.com/rebellion,,,English,"Set(Author2(https://leanpub.com/u/paulcamper,None,None))"
https://leanpub.com/handbookoftechnicalreviewsfourthedition,,5,English,"Set(Author2(https://leanpub.com/u/jerryweinberg,Some(https://twitter.com/jerryweinberg),Some(7,211)))"
https://leanpub.com/seminggubelajarlaravel,,64,Indonesian,"Set(Author2(https://leanpub.com/u/rahmatawaludin,Some(https://twitter.com/rahmatawaludin),Some(165)))"
https://leanpub.com/We_are_the_KAMZ,,38,English,"Set(Author2(https://leanpub.com/u/jgribeiro,Some(https://twitter.com/JonoIsWriting),Some(6)))"
https://leanpub.com/aventura-en-las-arenas,,13,El idioma del libro: Español,Set()
https://leanpub.com/lavenutadeglidei,,4,Lingua del libro: italiana,"Set(Author2(https://leanpub.com/u/manuelavalente,None,None))"
https://leanpub.com/tabletinterpreter,,4,English,"Set(Author2(https://leanpub.com/u/adrechsel,Some(https://twitter.com/tabterp),Some(378)))"
https://leanpub.com/bizanalysiswithr,,45,English,"Set(Author2(https://leanpub.com/u/robertdbrowniii,Some(https://twitter.com/InciteDecisions),Some(363)))"
https://leanpub.com/tco-apple-tv,,,English,"Set(Author2(https://leanpub.com/u/joshcenters,Some(https://twitter.com/jcenters),Some(704)))"
https://leanpub.com/discipleshipstory,,,English,"Set(Author2(https://leanpub.com/u/mitchmartin,Some(https://twitter.com/mitch_martin),Some(232)))"
https://leanpub.com/D3-Tips-and-Tricks,,12030,English,"Set(Author2(https://leanpub.com/u/d3noob,Some(https://twitter.com/d3noob),Some(312)))"
https://leanpub.com/Practical_Git,,314,English,"Set(Author2(https://leanpub.com/u/diniscruz,Some(https://twitter.com/DinisCruz),Some(2,174)))"
https://leanpub.com/ThePolarBearer,,,הספר כתוב בשפה: עברית,"Set(Author2(https://leanpub.com/u/ideetsivan,None,None), Author2(https://leanpub.com/u/guysivan,None,None))"
https://leanpub.com/fortcollinscoloradocsaguide,,3,English,"Set(Author2(https://leanpub.com/u/coloradocsas,Some(https://twitter.com/coloradocsas),Some(203)))"
https://leanpub.com/sapphireandsage,,14,English,"Set(Author2(https://leanpub.com/u/kayleighgrian,None,None))"
https://leanpub.com/thequestofthebrokenegg,,3,English,"Set(Author2(https://leanpub.com/u/lilycruz,None,None))"
https://leanpub.com/scrumtips,,247,Språk: Swedish,"Set(Author2(https://leanpub.com/u/tobiasfors,Some(https://twitter.com/tofo),Some(1,051)))"
https://leanpub.com/Abandonmentparty,,23,English,"Set(Author2(https://leanpub.com/u/bradsmith,None,None))"
https://leanpub.com/apostolicbaptism,,6,English,"Set(Author2(https://leanpub.com/u/simonpeter,Some(https://twitter.com/SimonPChappell),Some(34)))"
https://leanpub.com/gettingstuffdonelaravel,,,English Turkish 日本語,"Set(Author2(https://leanpub.com/u/chuckheintzelman,Some(https://twitter.com/storychuck),Some(124)))"
https://leanpub.com/jsf,,45,English,"Set(Author2(https://leanpub.com/u/muellermi,None,None))"
https://leanpub.com/appengine,,80,Idioma do Livro: Português,"Set(Author2(https://leanpub.com/u/renzo,Some(https://twitter.com/renzonuccitec),Some(293)))"
https://leanpub.com/fiverules,,114,English,"Set(Author2(https://leanpub.com/u/willemlarsen,Some(https://twitter.com/cascadiawillem),Some(281)), Author2(https://leanpub.com/u/dianalarsen,Some(https://twitter.com/DianaOfPortland),Some(3,446)))"
https://leanpub.com/triumphalaccounts,,,English,"Set(Author2(https://leanpub.com/u/anonymous0ZUsgo78P6Px0xy5NRMz1e,Some(https://twitter.com/MilkHoneyedLand),Some(1,549)))"
https://leanpub.com/nodecraftsman,,1567,English,"Set(Author2(https://leanpub.com/u/manuelkiessling,Some(https://twitter.com/manuelkiessling),Some(1,550)))"
https://leanpub.com/defmacro,,102,English,Set()
