Book Title,Sum of authors twitter followers,Number of readers,min price,max price
Ryphna's Notebook,164,4,199,499
Uncensored,241900,585,499,999
Kommentare zur EU Datenschutz Grundverordnung,2779,6,-1,500
HEPC,0,58,-1,-1
Aura Framework v2,3056,8,500,1000
L'appendifiabe,0,0,299,499
United Front,0,5,399,999
Sally Strange,138,0,299,499
Building an Open Community,3002,8,-1,200
"Starting Your Self-Publishing Path: Chapter 1, Self-Publishing Boot Camp Guide for Authors",538,8,99,299
Getting Stuff Done with Laravel 4 (TR),887,3,2999,3999
Take Control of Podcasting on the Mac (3.0),0,0,-1,1000
NetBeans Platform for Beginners,0,0,3499,4999
Who is agile? Volume 1,6886,484,-1,2999
Practical Git and GitHub,2174,315,-1,1100
Agile w praktyce,691,523,370,600
Househacker Guide,5,0,399,599
Keeping Software Soft,0,54,1299,2999
Thrive,111,0,499,999
Mystery of the Murdered Professor,1372,0,199,499
MODELING AND SIMULATION WITH BIZAGI PROCESS MODELER version 2.5,0,0,1500,2000
The Cycle,305,0,-1,900
Beware The Books,0,0,-1,499
The Secrets of Consulting,7211,20,-1,999
Watirways,0,556,-1,499
"Gold, Guns and God",0,0,999,2499
The Discipleship Story,232,0,999,1999
App Engine e Python,293,80,1165,1499
Geschichten vom Pilli Pulli Kastropi,0,0,99,499
Plaid Manual,8,0,300,500
Black Magic,530,0,99,99
WordPress by switchplus,0,0,-1,799
Night Blade: Dawn of Discovery,154,0,99,199
Discovering Pride (The Pride Series #2),1915,0,-1,299
Management Matters,1329,107,500,1500
Duke Blisser and the Meditating Marines,65700,0,99,399
Lord of the Deer,0,20,-1,199
Autism Understanding and Acceptance,10700,41,-1,299
Boo Boo the Blue Chicken,0,0,199,599
The Seer,225,136,699,999
Gestion des devoirs,662,40,-1,299
The Agile Quizzitch,698,137,899,1299
Scripting Enterprise Architect,0,0,1999,2599
Summary of The Hunger Games by Suzanne Collins,0,0,299,359
career.fork(),527,799,1499,1999
Finding Pride (The Pride Series #1),1915,0,-1,99
Humeurs Tunisiennes,1713,0,199,400
No Budget Budget,5,0,399,599
Developer Testing,112,114,800,1600
Ferryetas and Geonogs,0,0,499,799
The 20 Things You Must Know About Music Online,11100,1112,-1,199
Societal Renaissance,0,50,-1,-1
該做什麼。,0,0,-1,199
Lisp Hackers,0,5909,-1,-1
R for Excel Users,0,0,2000,2500
Construyendo aplicaciones seguras con PHP,2012,0,2499,2999
Singularities - The Short Stories,6,18,-1,-1
Yoga Schmoga,347,30,600,1000
You Wove that on What???,25,8,499,999
"Obsession, Orion and Ozone",0,0,-1,50000
Nijlpaard voor Kerstmis,922,4,-1,699
Apostolic Baptism,34,6,500,1000
Lekcje z oddziału intensywnej terapii,0,29,99,499
《摩登家庭》的世界,0,0,-1,499
The ABC of PDF with iText,396,8738,-1,499
Startup Lessons Learned,175000,706,-1,2999
What The Defend?,112,80,-1,6000
CakePHP Unit Testing,663,44,999,1499
Business Case Analysis with R,362,45,-1,999
The Coming Apocalypse,454,12,-1,-1
The Tablet Interpreter,0,4,-1,500
Getting Stuff Done with Laravel 4,124,0,1999,2999
Naughty Notions,1230,0,-1,299
Laravel 4 Türkçe Dokümantasyon (v. 4.1),763,707,-1,2999
Napast okolišanja,334,0,-1,-1
DNSSec Mastery,1563,91,-1,999
Muzica In Cuvinte,0,18,-1,499
Introducción a Lean,450,43,-1,2999
Fait maison,0,0,1000,1400
Il talismano della Driade,0,2,299,599
คู่มือ Selenium IDE สำหรับผู้เริ่มต้น,0,10,699,899
Android apps development - Cookbook,0,3,4900,6900
The Venture Hacks Bible,0,1288,-1,1900
Laravel: Code Bright (RU),7085,0,2999,3999
Exercises in Porting to the NetBeans Platform,0,0,2000,3000
Studies for Standalone WebApp with B2G,0,0,99,499
"FAT Shoulder Exercises For Scapular Awareness, Control and Stability",0,21,1180,1650
SCAN framework,2428,19,499,1499
使用 RSpec 测试 Rails 程序,1122,298,500,700
Beyond Web and Firefox OS - GAIA FROM ABOVE,0,49,499,1499
The Spirit Tracker,0,4,-1,500
INDOCTRINATOR,5,0,399,599
Samycreek,0,2,99,499
A Level Biology,0,37,100,200
The Man in the Cistern,1549,0,-1,99
A Primer on SQL,0,1141,-1,99
Boulder Colorado CSA Guide,203,7,-1,1000
Practical AngularJS,2174,2025,-1,1100
SHËD: Build your own designer garden office for less than £2500,669,451,781,1561
Quickstart Guide to the Five Rules of Accelerated Learning,3727,114,999,1499
Agile Planet,227,221,-1,499
Travel Diary,0,11,200,500
Laravel 4 Cookbook,14209,992,1999,2999
Land Dream Rails Job,6120,0,8500,10000
Kanban for skeptics,1034,2298,-1,499
The Psychology of Software #Testing,1360,27,999,1999
Dataflow and Reactive Programming Systems,0,554,1995,2995
"Te Ligan, Byter Strategi.",0,0,99,499
Twinspiratie voor Tweelingouders,242,161,899,1299
El Libro Principiante de Node,1550,0,999,1499
Brast,0,2,99,499
Приключения большой девочки в плоском городе,0,16,100,250
Beyond Kony2012,0,1359,-1,299
Hur man förändrar världen,81,38,199,499
Swimming with Asian Sharks,0,0,299,999
Il Vascello del Diavolo,0,5,299,499
Lean Bites,2839,0,-1,1299
It's my Life,454,19,-1,-1
Constructing Large Scale Enterprise Applications With Ruby And Rails,0,0,999,1499
Startup Marketing,0,1235,-1,1900
Asesino,192,3,-1,799
Maroka,1205,15,-1,199
Deadly Alliance: The G.E.A.Rs of War,7,0,99,499
Grunt Cookbook,190,18,-1,1299
Rise of the Chulo,625,5,199,699
AngularJS + Rails,0,137,2500,3000
Poetic License,0,4,399,999
50 Quick Ideas to Improve your User Stories,8150,3932,-1,1000
Focus Integral,0,0,489,789
Blessed,0,0,-1,450
Understanding the Four Rules of Simple Design,12800,1209,11500,1799
Growing Agile: A Coach's Guide to Release Planning,2186,67,1000,1500
A Meta em 30 páginas,0,0,999,1499
Laravel 4 Cookbook (PT-BR),14282,0,1999,2999
C++ for dinosaurs,0,17,499,799
What's New in Java 8,0,114,450,999
Lisp for the Web,225,814,-1,499
Thailand 2014,277000,0,888,1888
Moon Drop,15,0,-1,699
Sri Lanka 2014,0,0,888,1888
Erfolgreiche Retrospektiven,181,0,1500,2000
A Burning Secret,0,0,99,499
Lean Homeschooling: Planning a School Year,0,0,-1,500
Eldritch Fairytales,15,44,299,499
Programmieren lernen mit Javascript,88,2,99,499
Intellectual Curiosity In Our Schools,2061,0,99,499
Ansible for DevOps,3526,502,999,1999
Novelty Waves,2276,0,-1,399
Exploiting MVC Model Binding,2174,62,-1,1100
Improve Your Security,397,496,-1,499
Neva Saw It Comin': Raven & Imani's Story,674,0,625,899
Prophecy,0,0,-1,-1
Changes in Genesis 2.0,1925,183,2999,3499
Working Effectively with Unit Tests,965,249,1999,2999
Psychic Dawn,5,0,99,499
Play Framework na prática,608,54,-1,990
Laravel: From Apprentice To Artisan,13000,0,2999,3499
機構設計與規範,0,2,-1,99
喲，在以色列的故事,1,0,299,499
Predicting Security Threats with Splunk,144,3,299,499
Taiwan 2014,277000,0,888,1888
The Skool Of Life,500,491,-1,199
As Fierce A Flame,140,0,299,1099
Inside Enterprise Architect,0,0,1599,2499
Nietzsche's Footfalls,137,0,99,499
Integrating Front end Components with Web Applications,3452,282,1999,2999
Experiential Learning: Beginning,7211,340,-1,2000
Upgrade to Rails 4,328,131,999,1700
Sabaha Karşı Öyküleri,59,2,300,400
Rebuilding MooTools,1209,6,-1,999
Markdown By Example,88,0,499,799
EPiServer 7 CMS Development,0,432,2500,3500
Rebuilding Laravel,1209,162,-1,999
Prescelti,0,8,199,499
HTML 5 Shoot 'em Up in an Afternoon,437,0,-1,999
Memory Training,0,0,99,499
Finding King David,0,0,99,499
Rocket Fuel for the Soul,65700,0,1499,4499
Everyday Rails Testing with RSpec,782,4131,1400,1900
Agile Reader,1716,7,-1,500
The Brain Hack Book,104,0,1900,2700
What I've Learned From Failure,9288,3268,1599,2499
Saved by a Bug,0,2,-1,99
The Mad God,0,7,-1,499
The Agile Agency,1120,780,-1,795
Continuous Improvement In A Flash,2077,74,1300,1750
The Metamorphoses of Titus,137,0,499,1299
Collaboration Games,2186,1086,-1,500
Shattered,0,0,99,499
Batting at Number 10,0,21,-1,99
Prabhupada Now!,0,0,799,1199
Patterns in C,225,421,499,1299
Sketchの基本。,0,6,499,799
Responsible Design for Android,6124,326,1475,2100
Yoga Basics,0,0,1450,2400
The Identity Project,205,0,999,1199
Flimflam Man,0,0,699,1499
Ember.js - Testing on Rails,116,0,1500,2000
JavaScript Allongé,9288,2270,1900,2900
Laravel: Code Bright (IT),7269,80,2999,3999
Anniversaries for the Year 2014,484,36,-1,-1
Software Architecture for Developers,4704,4390,2000,3000
This Much I Knew,3827,37,-1,499
Expected Value,0,8,-1,799
Tonalli,0,0,-1,-1
Painless Tmux,104,75,499,999
Hideaway,0,0,499,899
97 Things Every Programmer Should Know - Extended,511,3587,-1,199
N Ways To Be A Better Developer,10760,57,400,1000
Xamarin iOS Application Development,329,70,1099,1299
Node.js 雲端技術與軟體思惟,0,347,699,799
Critical Chain Projektmanagement für Projektmanager ...,0,0,4999,5999
Automated Trading Strategies using C# and NinjaTrader 7,139,0,-1,1000
Unicorns in the mist,863,0,500,1499
Educational Experience,1074,0,99,499
Cómo Abrir y Mantener un Templo,0,0,299,499
Fehlersuche bei Linux Servern und Netzwerken,0,0,1649,1949
Cucumber & Cheese,1887,836,-1,1499
Design para a Experiência do Usuário: alguém está fazendo isso por você,440,1274,-1,-1
Teach Yourself Enterprise Architect in Ten Days,560,302,1499,1999
Writing On The Go With Scrivener,0,6,99,299
The Journeyman,0,0,199,499
Vietnam 2014,277000,0,888,1888
Unrequited,1201,0,-1,99
Robert Manis The Carnal Conspiracies,625,0,99,599
יש לי חנות של ריחות,0,0,-1,-1
O PROVEITO DA DÚVIDA,1,0,999,1499
Lady and The Hawk,22,2,-1,500
Chicago Sunset,180,2,-1,499
Developing Games With Ruby,167,23,-1,1000
Selling Test-Driven Projects,181,0,1000,1500
Pheonix Reborn,0,0,299,799
私有防禦,0,0,-1,199
TPL Dataflow by Example,0,255,-1,995
Remington Mens Shavers,0,0,99,499
The Light of the Dragons,0,2,199,499
জলশিশুরা,214,0,99,499
7 Simple Steps toward a Search-Savvy Site,303,0,99,499
The Pattern Maker,0,0,499,699
Cult of PHP,50,41,-1,999
Your Leadership EDGE,0,0,1000,2500
"PHP: ""Usulüne"" Uygun",0,242,-1,999
Flow & Flower,347,79,400,800
Invisible Disability,1627,6,1299,1999
The St. Giles Preschool Cookbook,0,0,300,900
Emotional Mastery,0,0,99,499
SistaGirlz Trivia,799,0,-1,-1
The Inebriated Chronicles,0,4,-1,299
The Zen Programmer,734,225,1499,2499
PhoneGap Build Starter,178,1402,-1,499
Lean Change,2369,328,499,1199
Shape Script made easy,0,16,1599,1999
Fun Retrospectives,2087,879,-1,999
Asia 2014,277000,0,8800,9900
Hiring Geeks That Fit,6463,448,-1,1999
What The Board?,112,92,-1,8000
A3 Problem Solving: Applying Lean Thinking,4037,293,500,775
Build APIs You Won't Hate,11100,1310,2699,2999
Seminggu Belajar Laravel,164,64,1730,2500
Vagrant CookBook (PT-BR),0,23,999,1599
The 6 rules to design the best user interfaces,1984,916,-1,-1
Laravel 3.x Docs,83,3,-1,299
Spanish Night,0,5,-1,-1
Paradise,0,11,-1,1500
Fruits of the Spirit,0,0,899,1399
Read-Eval-Print-λove,8380,104,149,499
Laravel 4 Documentation,24,1182,-1,499
Frozen,648,0,100,500
There's Always a Duck,8618,145,399,899
What Drives Quality?,1743,0,99,499
On Valentine's Day,1696,0,99,499
Wrinklefree JS for Hipsters,1242,0,2500,4000
Philosophy A to Z,46,0,499,1299
Understanding ECMAScript 6,25400,100,1499,1999
The Silversong Child,5842,75,200,800
HOW-TO: Convert PSD (Photoshop) to HTML/CSS,106,8,1400,1900
The Node Beginner Book,1550,14638,999,1499
Trello Dojo,0,390,837,999
Memoirs of a Software Team Leader,28,87,1900,2300
The Stone Woods,156,2,499,1299
Paratge,0,0,309,909
Niche Pick: How To Find A Profitable Niche Idea,0,0,99,499
If Pictures Could Talk,366,15,-1,99
Psychic Mist,5,0,99,499
Dash of Romance,1201,5,-1,499
The Lean Enterprise,23600,0,2900,4100
Crea API che non odierai,11289,0,2599,2899
Singapore 2014,277000,0,888,1888
Título do Livro 1,0,0,99,499
Solivagant Souls,0,2,99,499
The Engineer,71,116,999,1499
A Go Developer's Notebook,1089,181,600,2500
Ted Heads Up,0,0,99,299
Zomopolis,0,0,99,499
Change Artistry,14997,87,-1,3000
Poeticbuttafly Expressions,879,17,700,1250
The Leadership Game,4585,336,-1,999
"PHP: The ""Right"" Way",13942,4446,-1,399
Kindergarten Dropout,0,0,399,799
Learn Vimscript the Hard Way,4625,588,-1,800
15 Fundamentals for Higher Performance in Software Development,0,12,899,999
Vagrant CookBook,3695,506,1999,2299
Pursuit,7461,3,-1,499
Japan 2014,277000,0,888,1888
Crafting Shakespeare,0,31,699,999
Model for the 21st Century Newsroom - Redux,21400,1034,-1,-1
Everlasting Arm,0,0,-1,199
Using Zend Framework 2,0,196,1499,1799
Building Organizational Intelligence,1466,85,1500,3000
Building Backbone Plugins,8074,1005,4499,2400
Quiztig met Bier,560,0,499,999
iOS7 Day by Day,466,1193,-1,999
Stuff that Nobody Cares About: Love is,35,4,499,599
Network Diagrams With Visio,11000,289,649,1299
Typed PHP,1209,0,999,1999
Mission: Next,2520,0,-1,-1
Vintage Hare Krsna recipes,0,0,299,499
The Neophyte's Guide to Scala,0,1497,-1,499
Appsters,0,0,799,999
Primal Passions,514,70,-1,200
The service-oriented enterprise,2428,45,799,1999
The Quiet Inspector,0,7,-1,599
Harri-Petteri ja Harmaa G,51,3,99,299
Malaysia 2014,277000,0,888,1888
Global Moves,644,74,999,2499
Clicker training and agile software development,277,31,-1,499
Colorado Springs Colorado CSA Guide,203,0,-1,1000
How to Achieve the Impossible,3215,0,-1,499
Webentwicklung mit Zend Framework 2,49,1209,1200,2000
Niiganab,151,0,99,499
In Between,0,0,-1,499
Building Phone Applications,0,0,2400,3500
Kaukamoinen,13700,0,-1,699
Solving business problems with Excel,0,0,100,500
Archetypes,0,28,500,750
Practical Jni4Net,2174,42,-1,1100
defmacro,1601,102,499,999
HÜDDAM,26,9,-1,250
PHP: Правильный путь,0,1370,-1,399
Rails 程序部署之道,1238,93,990,1390
Scaling PHP,56300,57,-1,5900
The Inner Goddess,0,3,-1,-1
"Prepare, Produce, Publish",5729,0,-1,1000
The Cangjie Dictionary,0,0,800,1200
Express.js Guide,2607,665,-1,1499
Conhecendo Rails,1381,25,-1,1500
Are there no more Dragon Warriors?,625,6,99,699
Letters to Nina,0,0,99,2000
Worshipping at Tori's Temple,0,0,99,499
EMERGENT,311,45,-1,999
A Revolution Round the Sun,13,0,174,500
Tips for manual testers working in an agile environment,480,0,374,1499
Waardevolle Agile Retrospectives,16543,0,799,999
You Are What You Decide,95,0,999,1499
China 2014,277000,0,888,1888
"Real, Legal, Normal",2351,46,999,1999
Devenez hACkTEUR !,593,32,-1,499
Lecture Notes on Intelligent Agents Spring 2013,0,2,99,499
สร้างระบบ chat อย่าง facebook ด้วย XMPP โปรโตคอลและ Openfire,0,5,1599,2000
Never Serve Cold Coffee,5803,0,199,399
Laravel: Code Bright (PT-BR),7379,149,2999,3999
Reliably Deploying Rails Applications,898,698,2000,3000
Pro-Git,55,0,-1,-1
"Money, Wealth and Prosperity",454,18,-1,-1
Arches: heritage inventory & management system - Installation Guide,154,122,-1,-1
A Tail Afire,573,0,199,399
Guia Rápido de Desenvolvimento para Firefox OS,608,3026,-1,-1
Take Control of Automating Your Mac (1.0),1790,2,-1,1500
Power Of Twitter Chats,2769,0,99,499
Software Craftsmanship,1727,476,1800,2500
Referencia Electrocardiográfica de Bolsillo,0,0,1999,2499
Take Control of Your Apple Wi-Fi Network (1.0),0,0,-1,2000
Implementing Laravel,3216,0,1999,2499
Butterflies and Sand,1427,9,100,218
Growing Agile: A Coach's Guide to Agile Requirements,2186,72,1000,1500
The Lean Change Method,0,369,499,999
Mermaid Ocean,0,2,-1,495
A Primer on Java,0,1002,-1,99
Bolsa Chica,0,0,99,499
The Grumpy Programmer's PHPUnit Cookbook,5571,869,-1,2900
Toeval bestaat niet,0,0,-1,499
Broken Trees and Lost Horizons,0,3,-1,499
Focus On Your Success,0,0,99,299
Zodiac AA,0,0,999,2499
Towards Next Practice Enterprise Architecture,1466,34,750,1500
A Misplaced Displaced Geek,87,0,499,999
The Little Book of Impediments,452,23,1099,1999
White Box Networking in 2014,11000,43,2499,4999
The Single Page App Jumpstart,1346,74,499,1199
AngularJS na prática,1068,639,500,1000
Zander in Climaxia,0,0,99,499
How To Develop iOS Database Apps using SQLite,219,2,499,1999
JES! Towards a joint effort society,0,0,699,1299
Servant of Dracula,0,0,99,499
Visiting Walt Disney World with Little Kids,0,0,-1,1495
Cognitive Productivity,85,0,1899,2299
Modern Java,47,56,995,2500
Understanding Requirements,0,0,1295,2495
Risk of Skin,137,0,800,1000
A Practical Approach to API Design,6637,281,1999,2999
Angliai Útikalauz IT-soknak,636,11,99,5
